date,PHR,GVR,TRC,VNIndex
03/25/2021,54845,26882,33242.69921875,1163.099975585938
03/24/2021,55314,27417,35684.19921875,1161.81005859375
03/23/2021,57657,28586,36623.30078125,1183.449951171875
03/22/2021,58314,28927,37092.80078125,1194.430053710938
03/19/2021,58876,29219,37750.19921875,1194.050048828125
03/18/2021,57751,29901,37750.19921875,1200.93994140625
03/17/2021,57657,28927,37468.3984375,1186.089965820313
03/16/2021,57564,28683,36153.80078125,1179.900024414063
03/15/2021,57845,29511,38313.6015625,1184.56005859375
03/12/2021,58126,30096,37092.80078125,1181.56005859375
03/11/2021,58595,28732,37092.80078125,1181.72998046875
03/10/2021,58876,28245,35684.19921875,1170.079956054688
03/09/2021,57657,27953,35965.8984375,1161.969970703125
03/08/2021,58220,28635,34275.6015625,1168.27001953125
03/05/2021,58876,28294,35496.3984375,1168.68994140625
03/04/2021,59626,28002,35590.30078125,1168.52001953125
03/03/2021,59626,28830,33806.1015625,1186.949951171875
03/02/2021,59251,29122,33806.1015625,1186.609985351563
03/01/2021,57751,28732,34275.6015625,1186.170043945313
02/26/2021,57189,28099,34181.69921875,1168.469970703125
02/25/2021,57189,28148,34275.6015625,1165.430053710938
02/24/2021,57657,28050,34275.6015625,1162.010009765625
02/23/2021,58126,29122,34275.6015625,1177.640014648438
02/22/2021,58126,27222,34369.5,1175.0400390625
02/19/2021,57657,27369,33524.3984375,1173.5
02/18/2021,58032,26735,34745.19921875,1174.380004882813
02/17/2021,57095,25031,34745.19921875,1155.780029296875
02/09/2021,54189,23424,35872,1114.930053710938
02/08/2021,53814,23327,33618.30078125,1083.180053710938
02/05/2021,54939,25031,31458.5,1126.910034179688
02/04/2021,54845,24788,33618.30078125,1112.18994140625
02/03/2021,55032,24349,33344.19921875,1111.2900390625
02/02/2021,53626,22791,32430.69921875,1075.530029296875
02/01/2021,52782,22109,32887.5,1035.510009765625
01/29/2021,54751,23765,32887.5,1056.609985351563
01/28/2021,54751,25469,32887.5,1023.940002441406
01/27/2021,58782,27369,32887.5,1097.170043945313
01/26/2021,60001,29414,33070.19921875,1136.119995117188
01/25/2021,61314,31605,32704.80078125,1166.050048828125
01/22/2021,61782,31264,32156.599609375,1166.780029296875
01/21/2021,63470,31021,33618.30078125,1164.2099609375
01/20/2021,63189,30193,32430.69921875,1134.680053710938
01/19/2021,63282,30875,32704.80078125,1131
01/18/2021,66095,32433,32978.80078125,1191.93994140625
01/15/2021,65908,31557,32887.5,1194.199951171875
01/14/2021,64970,31800,32887.5,1187.400024414063
01/13/2021,65158,31021,32293.69921875,1186.050048828125
01/12/2021,65533,29024,33709.6015625,1192.280029296875
01/11/2021,63470,28586,32887.5,1184.890014648438
01/08/2021,61407,28245,32522,1167.68994140625
01/07/2021,60376,27563,32887.5,1156.489990234375
01/06/2021,60845,28002,34303.5,1143.2099609375
01/05/2021,60282,28732,34257.80078125,1132.550048828125
01/04/2021,59626,28683,33526.8984375,1120.469970703125
12/31/2020,59064,29170,33664,1103.869995117188
12/30/2020,59907,27758,33664,1097.5400390625
12/29/2020,60001,28732,34486.19921875,1099.489990234375
12/28/2020,60376,29657,34257.80078125,1091.329956054688
12/25/2020,60376,28343,32887.5,1084.420043945313
12/24/2020,60001,26492,33801,1067.52001953125
12/23/2020,61782,26882,34668.8984375,1078.900024414063
12/22/2020,62064,28196,32887.5,1083.449951171875
12/21/2020,60189,26395,31973.900390625,1081.079956054688
12/18/2020,59907,24690,30923.30078125,1067.4599609375
12/17/2020,58970,23375,31060.400390625,1051.77001953125
12/16/2020,59907,22694,31060.400390625,1066.989990234375
12/15/2020,59907,22645,30603.599609375,1055.27001953125
12/14/2020,58501,21768,30603.599609375,1064.089965820313
12/11/2020,58126,20356,31060.400390625,1045.9599609375
12/10/2020,56720,19431,30603.599609375,1030.910034179688
12/09/2020,58876,19918,31836.900390625,1039.130004882813
12/08/2020,58595,19772,31973.900390625,1029.260009765625
12/07/2020,58955,19772,31745.5,1029.97998046875
12/04/2020,58865,19528,31973.900390625,1021.489990234375
12/03/2020,58685,18262,31973.900390625,1019.799987792969
12/02/2020,57603,18311,31973.900390625,1014.320007324219
12/01/2020,57243,18165,31973.900390625,1008.869995117188
11/30/2020,57153,18116,35100,1003.080017089844
11/27/2020,57243,18554,32065.30078125,1010.219970703125
11/26/2020,56431,18895,34800,1005.969970703125
11/25/2020,56792,18408,31791.19921875,999.9400024414063
11/24/2020,58415,17824,31791.19921875,995.760009765625
11/23/2020,58595,18018,31791.19921875,994.1900024414063
11/20/2020,58234,18505,31517.19921875,990
11/19/2020,57603,18798,31517.19921875,983.260009765625
11/18/2020,56972,18505,29507.400390625,973.530029296875
11/17/2020,56341,17434,29233.30078125,968.9000244140625
11/16/2020,55079,16314,28959.19921875,950.7899780273438
