date,PHR,VNIndex
03/11/2021,58595,1181.72998046875
03/10/2021,58876,1170.079956054688
03/09/2021,57657,1161.969970703125
03/08/2021,58220,1168.27001953125
03/05/2021,58876,1168.68994140625
03/04/2021,59626,1168.52001953125
03/03/2021,59626,1186.949951171875
03/02/2021,59251,1186.609985351563
03/01/2021,57751,1186.170043945313
02/26/2021,57189,1168.469970703125
02/25/2021,57189,1165.430053710938
02/24/2021,57657,1162.010009765625
02/23/2021,58126,1177.640014648438
02/22/2021,58126,1175.0400390625
02/19/2021,57657,1173.5
02/18/2021,58032,1174.380004882813
02/17/2021,57095,1155.780029296875
02/09/2021,54189,1114.930053710938
02/08/2021,53814,1083.180053710938
02/05/2021,54939,1126.910034179688
02/04/2021,54845,1112.18994140625
02/03/2021,55032,1111.2900390625
02/02/2021,53626,1075.530029296875
02/01/2021,52782,1035.510009765625
01/29/2021,54751,1056.609985351563
01/28/2021,54751,1023.940002441406
01/27/2021,58782,1097.170043945313
01/26/2021,60001,1136.119995117188
01/25/2021,61314,1166.050048828125
01/22/2021,61782,1166.780029296875
01/21/2021,63470,1164.2099609375
01/20/2021,63189,1134.680053710938
01/19/2021,63282,1131
01/18/2021,66095,1191.93994140625
01/15/2021,65908,1194.199951171875
01/14/2021,64970,1187.400024414063
01/13/2021,65158,1186.050048828125
01/12/2021,65533,1192.280029296875
01/11/2021,63470,1184.890014648438
01/08/2021,61407,1167.68994140625
01/07/2021,60376,1156.489990234375
01/06/2021,60845,1143.2099609375
01/05/2021,60282,1132.550048828125
01/04/2021,59626,1120.469970703125
12/31/2020,59064,1103.869995117188
12/30/2020,59907,1097.5400390625
12/29/2020,60001,1099.489990234375
12/28/2020,60376,1091.329956054688
12/25/2020,60376,1084.420043945313
12/24/2020,60001,1067.52001953125
12/23/2020,61782,1078.900024414063
12/22/2020,62064,1083.449951171875
12/21/2020,60189,1081.079956054688
12/18/2020,59907,1067.4599609375
12/17/2020,58970,1051.77001953125
12/16/2020,59907,1066.989990234375
12/15/2020,59907,1055.27001953125
12/14/2020,58501,1064.089965820313
12/11/2020,58126,1045.9599609375
12/10/2020,56720,1030.910034179688
12/09/2020,58876,1039.130004882813
12/08/2020,58595,1029.260009765625
12/07/2020,58955,1029.97998046875
12/04/2020,58865,1021.489990234375
12/03/2020,58685,1019.799987792969
12/02/2020,57603,1014.320007324219
12/01/2020,57243,1008.869995117188
11/30/2020,57153,1003.080017089844
11/27/2020,57243,1010.219970703125
11/26/2020,56431,1005.969970703125
11/25/2020,56792,999.9400024414063
11/24/2020,58415,995.760009765625
11/23/2020,58595,994.1900024414063
11/20/2020,58234,990
11/19/2020,57603,983.260009765625
11/18/2020,56972,973.530029296875
11/17/2020,56341,968.9000244140625
11/16/2020,55079,950.7899780273438
11/13/2020,55350,966.2899780273438
11/12/2020,55259,959.280029296875
11/11/2020,55800,952.219970703125
11/10/2020,54809,951.9000244140625
11/09/2020,52104,951.989990234375
11/06/2020,51473,938.2899780273438
11/05/2020,51203,937.75
11/04/2020,52285,939.760009765625
11/03/2020,51473,935.4099731445313
11/02/2020,50752,933.6799926757813
10/30/2020,49670,925.469970703125
10/29/2020,49400,919.0800170898438
10/28/2020,49761,921.0499877929688
10/27/2020,50482,946.469970703125
10/26/2020,50932,950.7999877929688
10/23/2020,50031,961.260009765625
10/22/2020,49310,949.9000244140625
10/21/2020,48949,939.030029296875
10/20/2020,49580,944.4199829101563
10/19/2020,49851,943.6900024414063
10/16/2020,49851,943.2999877929688
10/15/2020,49130,942.760009765625
10/14/2020,50121,940.1799926757813
10/13/2020,50752,929.8599853515625
10/12/2020,50482,925.8300170898438
10/09/2020,52104,924
10/08/2020,52375,918.8400268554688
10/07/2020,52826,919.719970703125
10/06/2020,52916,915.6699829101563
10/05/2020,52916,914.6799926757813
10/02/2020,52104,909.9099731445313
10/01/2020,52555,914.0900268554688
09/30/2020,52555,905.2100219726563
09/29/2020,51203,903.97998046875
09/28/2020,52285,912.5
09/25/2020,52375,908.27001953125
09/24/2020,52735,908.5800170898438
09/23/2020,52735,912.5
09/22/2020,51834,906.1900024414063
09/21/2020,51834,907.9400024414063
09/18/2020,52195,900.9500122070313
09/17/2020,52285,894.0399780273438
09/16/2020,52826,897.469970703125
09/15/2020,53366,896.260009765625
